Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Bangladesh,23.685,90.3563,2020-05-09,214,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-08,206,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-07,199,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-06,186,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-05,183,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-04,182,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-03,177,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-02,175,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-05-01,170,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-30,168,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-29,163,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-28,155,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-27,152,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-26,145,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-25,140,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-24,131,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-23,127,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-22,120,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-21,110,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-20,101,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-19,91,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-18,84,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-17,75,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-16,60,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-15,50,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-14,46,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-13,39,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-12,34,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-11,30,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-10,27,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-09,21,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-08,20,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-07,17,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-06,12,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-05,9,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-04,8,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-03,6,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-02,6,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-04-01,6,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-31,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-30,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-29,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-28,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-27,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-26,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-25,5,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-24,4,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-23,3,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-22,2,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-21,2,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-20,1,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-19,1,BGD,142,34,
,Bangladesh,23.685,90.3563,2020-03-18,1,BGD,142,34,
